,stand_alone_voltage_pp
378,(131642.63408545023+0j)
379,(131642.63408545023+0j)
380,(131642.63408545023+0j)
381,(131649.52344611095+0j)
382,(131649.52344611095+0j)
383,(131649.52344611095+0j)
384,(131649.52344611095+0j)
385,(131649.52344611095+0j)
386,(131638.09593217247+0j)
387,(131638.09593217247+0j)
388,(131638.09593217247+0j)
389,(131638.09593217247+0j)
390,(131638.09593217247+0j)
391,(131649.63284092845+0j)
392,(131649.63284092845+0j)
393,(131649.63284092845+0j)
394,(131649.63284092845+0j)
395,(131649.63284092845+0j)
396,(131653.51241469837+0j)
397,(131653.51241469837+0j)
398,(131653.51241469837+0j)
399,(131653.51241469837+0j)
400,(131653.51241469837+0j)
401,(131654.1380859861+0j)
402,(131654.1380859861+0j)
403,(131654.1380859861+0j)
404,(131654.1380859861+0j)
405,(131654.1380859861+0j)
406,(131652.17012789045+0j)
407,(131652.17012789045+0j)
408,(131652.17012789045+0j)
409,(131652.17012789045+0j)
410,(131652.17012789045+0j)
411,(131642.47094064148+0j)
412,(131642.47094064148+0j)
413,(131642.47094064148+0j)
414,(131642.47094064148+0j)
415,(131642.47094064148+0j)
416,(131637.63801952283+0j)
417,(131637.63801952283+0j)
418,(131637.63801952283+0j)
419,(131637.63801952283+0j)
420,(131637.63801952283+0j)
421,(131631.82401770167+0j)
422,(131631.82401770167+0j)
423,(131631.82401770167+0j)
424,(131631.82401770167+0j)
425,(131631.82401770167+0j)
426,(131617.32292830318+0j)
427,(131617.32292830318+0j)
428,(131617.32292830318+0j)
429,(131617.32292830318+0j)
430,(131617.32292830318+0j)
431,(131625.22303677362+0j)
432,(131625.22303677362+0j)
433,(131625.22303677362+0j)
434,(131625.22303677362+0j)
435,(131625.22303677362+0j)
436,(131625.82562285007+0j)
437,(131625.82562285007+0j)
438,(131625.82562285007+0j)
439,(131625.82562285007+0j)
440,(131625.82562285007+0j)
441,(131621.79996115752+0j)
442,(131621.79996115752+0j)
443,(131621.79996115752+0j)
444,(131621.79996115752+0j)
445,(131621.79996115752+0j)
446,(131621.18001510686+0j)
447,(131621.18001510686+0j)
448,(131621.18001510686+0j)
449,(131621.18001510686+0j)
450,(131621.18001510686+0j)
451,(131622.9355943826+0j)
452,(131622.9355943826+0j)
453,(131622.9355943826+0j)
454,(131622.9355943826+0j)
455,(131622.9355943826+0j)
456,(131615.05715711732+0j)
457,(131615.05715711732+0j)
458,(131615.05715711732+0j)
459,(131615.05715711732+0j)
460,(131615.05715711732+0j)
461,(131591.48764032658+0j)
462,(131591.48764032658+0j)
463,(131591.48764032658+0j)
464,(131591.48764032658+0j)
465,(131591.48764032658+0j)
466,(131576.42851722968+0j)
467,(131576.42851722968+0j)
468,(131576.42851722968+0j)
469,(131576.42851722968+0j)
470,(131576.42851722968+0j)
471,(131577.7003806859+0j)
472,(131577.7003806859+0j)
473,(131577.7003806859+0j)
474,(131577.7003806859+0j)
475,(131577.7003806859+0j)
476,(131589.86244491168+0j)
477,(131589.86244491168+0j)
478,(131589.86244491168+0j)
479,(131589.86244491168+0j)
480,(131589.86244491168+0j)
481,(131606.215305189+0j)
482,(131606.215305189+0j)
483,(131606.215305189+0j)
484,(131606.215305189+0j)
485,(131606.215305189+0j)
486,(131581.9244070097+0j)
487,(131581.9244070097+0j)
488,(131581.9244070097+0j)
489,(131581.9244070097+0j)
490,(131581.9244070097+0j)
491,(131568.7596502484+0j)
492,(131568.7596502484+0j)
493,(131568.7596502484+0j)
494,(131568.7596502484+0j)
